Protein Names	Gene Names	mRNA copy number experiment [molecules/cell]	Protein copy number experiment [molecules/cell]
Serine/threonine-protein phosphatase PP1-beta catalytic subunit	Ppp1cb	33.78	347986.1
Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	Ppp1cc		102358.82
Serine/threonine-protein phosphatase with EF-hands 1	Ppef1	13.32	2419.93
Serine-protein kinase ATM	Atm	6.31	5052.66
Serine-threonine kinase receptor-associated protein	Strap	63.54	1257040.18
Serologically defined colon cancer antigen 1 homolog	Sdccag1	10.81	38757.47
Serrate RNA effector molecule homolog	Srrt	51.97	303330.68
Serum deprivation-response protein	Sdpr	23.31	199640.19
Serum paraoxonase/arylesterase 2	Pon2	21.87	120961.34
Serum response factor-binding protein 1	Srfbp1	9.04	40366
SET and MYND domain-containing protein 3	Smyd3	3.58	15556.55
SET and MYND domain-containing protein 5	Smyd5	35.88	93814.1
SET domain-containing protein 3	Setd3	11.51	15869.25
Set1/Ash2 histone methyltransferase complex subunit ASH2	Ash2l	34.52	12747.37
Setd1a protein	Setd1a	15.57	3280.24
S-formylglutathione hydrolase	Esd	83.23	3027460.86
SH3 and PX domain-containing protein 2A	Sh3pxd2a	17.04	2633.91
SH3 and PX domain-containing protein 2B	Sh3pxd2b	7.11	26451.49
SH3 domain-binding glutamic acid-rich-like protein	Sh3bgrl	24.62	557430.73
SH3 domain-binding protein 4	Sh3bp4	14.83	1848.58
SH3 domain-containing kinase-binding protein 1	Sh3kbp1	23.96	133519.73
SH3 domain-containing protein 19	Sh3d19	11.99	989.98
SH3-domain binding protein 1	Sh3bp1	13.68	19001.53
SHC SH2 domain-binding protein 1	Shcbp1	17.21	30950.13
SHC-transforming protein 1	Shc1	34.44	27808.54
Short coiled-coil protein	Scoc		22878.76
Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	Acadsb	4.82	86743.8
Short-chain acyl-CoA dehydrogenase	Acads	12.85	364993.44
Sideroflexin-1	Sfxn1	20.74	264856.95
Sideroflexin-3	Sfxn3	14.97	294245.97
Sigma 1-type opioid receptor	Oprs1	47.01	271841.33
Signal peptidase complex catalytic subunit SEC11C	Sec11c	10.72	14766.5
Signal peptidase complex subunit 2	Spcs2	23.32	814453.31
Signal peptidase complex subunit 3	Spcs3	9.37	144503.03
Signal peptide peptidase beta	H13	13.09	67905.98
Signal recognition particle 14 kDa protein	Srp14	54.5	1056893.06
Signal recognition particle 54 kDa protein	Srp54		81080.16
Signal recognition particle 68	Srp68		181995.42
Signal recognition particle 9 kDa protein	Srp9	9.8	38839.52
Signal recognition particle receptor subunit alpha	Srpr	41.27	61653.86
Signal recognition particle receptor subunit beta	Srprb	29.13	919344.1
Signal transducer and activator of transcription 1	Stat1	3.88	20369.52
Signal transducer and activator of transcription 3	Stat3	10.92	9342.65
Signal transducing adapter molecule 1	Stam	12.88	78016.59
Signal transducing adapter molecule 2	Stam2	8.02	24773.43
Signal-induced proliferation-associated 1-like protein 1	Sipa1l1	11.18	2263.21
Single-strand selective monofunctional uracil DNA glycosylase	Smug1		9624.92
Single-stranded DNA binding protein 1	Ssbp1	9.69	878359.27
Single-stranded DNA-binding protein 3	Ssbp3	11.14	12989.69
Sipa1l3 protein	Sipa1l3	12.09	3150.74
Sister chromatid cohesion protein DCC1	DSCC1	8.43	6486.16
Sister chromatid cohesion protein PDS5 homolog A	Pds5a	23.41	68209.24
Sister chromatid cohesion protein PDS5 homolog B	Pds5b		207108.63
Sjoegren syndrome nuclear autoantigen 1 homolog	Ssna1	29.1	9832.22
Sjoegren syndrome/scleroderma autoantigen 1 homolog	Sssca1	57.43	147921.56
SLAIN motif-containing protein 2	Slain2	12.09	1669.48
Slit homolog 2 protein	Slit2	17.4	853.98
SLIT-ROBO Rho GTPase-activating protein 2	Srgap2	4.6	1760.17
SLIT-ROBO Rho GTPase-activating protein 3	Srgap3	7.82	1300.96
Small acidic protein	Smap	63.81	168205.99
Small glutamine-rich tetratricopeptide repeat-containing protein alpha	Sgta	50.3	433784.72
Small nuclear ribonucleoprotein F	Snrpf	17.22	214781.8
Small nuclear ribonucleoprotein G	Snrpg		1986374.46
Small nuclear ribonucleoprotein Sm D1	Snrpd1	49.68	5380440.26
Small nuclear ribonucleoprotein Sm D2	Snrpd2	243.8	3150196.88
Small nuclear ribonucleoprotein Sm D3	Snrpd3	223.8	2095291.29
Small nuclear ribonucleoprotein-associated protein B	Snrpb	157.3	893472.75
Small subunit processome component 20 homolog	Utp20	15.47	44759.94
Small ubiquitin-related modifier 1	Sumo1	49.85	161623.33
Small ubiquitin-related modifier 2	Sumo2		1987173.11
Small ubiquitin-related modifier 3	Sumo3	82.95	243020.5
Smc1a protein	Smc1a	39.98	184169.28
S-methyl-5'-thioadenosine phosphorylase	Mtap	49.37	1574614.65
Smith-Magenis syndrome chromosomal region candidate gene 8 protein homolog	Smcr8	9.76	1815.71
Smoothelin	Smtn	17.8	8851.59
SNARE-associated protein Snapin	Snapin	11.36	92505.79
Sntb2 protein	Sntb2	4.87	21983.87
SNW domain-containing protein 1	Snw1	24.47	182279.7
Sodium- and chloride-dependent taurine and beta-alanine transporter	Slc6a6	38.91	15130.04
Sodium bicarbonate cotransporter 3	Slc4a7	4.33	2317.63
Sodium/potassium-transporting ATPase subunit alpha-1	Atp1a1	129.96	361200.62
Sodium/potassium-transporting ATPase subunit alpha-4	Atp1a4		127.97
Sodium/potassium-transporting ATPase subunit beta-3	Atp1b3	69.89	196870.88
Sodium-coupled neutral amino acid transporter 1	Slc38a1		12188.35
Sodium-coupled neutral amino acid transporter 2	Slc38a2		289850.52
Solute carrier family 12 member 2	Slc12a2	10.94	21519.87
Solute carrier family 12 member 7	Slc12a7	13.71	11122.66
Solute carrier family 12 member 9	Slc12a9	4.72	1534.03
Solute carrier family 2, facilitated glucose transporter member 1	Slc2a1	42.03	147146.54
Solute carrier family 25 member 33	Slc25a33	10.69	7423.7
Solute carrier family 25 member 40	Slc25a40	3.61	10221.46
Solute carrier family 35 member B1	Slc35b1	44.88	4702.35
Solute carrier family 35 member E3	Slc35e3		246272.85
Solute carrier family 43, member 1	Slc43a1		148931.64
Something about silencing protein 10	Utp3	28.22	168704.82
Son of sevenless homolog 1	Sos1	4.06	3051.57
SON protein	Son	42.59	41912.32
Sorbitol dehydrogenase	Sord	6.34	149857.87
Sorcin	Sri	22.18	550410.06
Sorting and assembly machinery component 50 homolog	Samm50	56.63	80577.66
Sorting nexin-17	Snx17	33.23	3725.48
Sorting nexin-2	Snx2	11.83	113896.06
Sorting nexin-24	Snx24	3.34	6831.35
Sorting nexin-27	Snx27	14.81	67632.28
Sorting nexin-3	Snx3	41.85	409293.24
Sorting nexin-4	Snx4	17.05	47813.56
Sorting nexin-5	Snx5	43.36	215038.97
Sorting nexin-9	Snx9	61.21	192043.06
SPARC	Sparc	294.38	128303.19
Spartin	Spg20	9.6	10810.72
Spastin	Spast	4.24	4462.54
Spata5 protein	Spata5	17.72	44280.98
Spectrin alpha chain, brain	Sptan1		295823.03
Spectrin beta chain, brain 1	Sptbn1	41.91	246797.27
SPEN homolog, transcriptional regulator (Drosophila)	Spen	6.12	374.13
Sperm antigen with calponin homology and coiled-coil domains 1	Specc1	32.92	40972.53
Sperm-associated antigen 5	Spag5	19.69	3097.66
Sperm-associated antigen 7	Spag7	29.24	193080.33
Spermatid perinuclear RNA-binding protein	Strbp	1.36	4317.47
Spermatogenesis-associated serine-rich protein 2	Spats2		35803.8
Spermidine synthase	Srm	116.1	1639012.14
Spermine synthase	Sms	5.92	49438.26
Sperm-specific antigen 2 homolog	Ssfa2	7.68	1175.27
S-phase kinase-associated protein 1	Skp1	62.47	730550.16
S-phase kinase-associated protein 2	Skp2	14.29	4989.55
Sphingolipid delta(4)-desaturase DES1	Degs1	47.34	55510.02
Sphingomyelin phosphodiesterase 2	Smpd2	4.58	8537.45
Sphingomyelin phosphodiesterase 4	Smpd4	11.74	18113.4
Sphingosine kinase 2	Sphk2	5.72	3383.83
Sphingosine-1-phosphate lyase 1	Sgpl1	45.95	509082.34
Spindle and kinetochore-associated protein 3	Ska3	5.08	2700.26
Spliceosome RNA helicase Bat1	Bat1	132.29	2962097.68
Splicing factor 1	Sf1	44.52	238503.02
Splicing factor 3 subunit 1	Sf3a1	26.57	196081.43
Splicing factor 3A subunit 2	Sf3a2	41.79	250486.31
Splicing factor 3A subunit 3	Sf3a3	42.01	292509.16
Splicing factor 3B subunit 1	Sf3b1	32.02	278057.73
Splicing factor 3B subunit 3	Sf3b3	68.61	298838.5
Splicing factor 3B subunit 4	Sf3b4	51.31	67112.99
Splicing factor 3B subunit 5	Sf3b5	45.19	46857.13
Splicing factor 45	Rbm17	33.17	69838.63
Splicing factor U2AF 35 kDa subunit	U2af1		751060.64
Splicing factor U2AF 65 kDa subunit	U2af2	115.56	816469.39
Splicing factor, arginine/serine-rich 1	Sfrs1	53.75	2054468.57
Splicing factor, arginine/serine-rich 19	Scaf1	19.62	3503.9
Splicing factor, arginine/serine-rich 3	Sfrs3	34.98	3100530.6
Splicing factor, arginine/serine-rich 5	Sfrs5	64.39	273210.42
Splicing factor, arginine/serine-rich 7	Sfrs7	41.31	1654923.24
Splicing factor, arginine/serine-rich 9	Sfrs9	57.12	284497.96
Splicing factor, proline- and glutamine-rich	Sfpq	59.27	2089800.87
Squalene monooxygenase	Sqle	35.58	4002.7
Squamous cell carcinoma antigen recognized by T-cells 3	Sart3	23.99	92219.9
SRA stem-loop-interacting RNA-binding protein, mitochondrial	Slirp	50.67	315932.04
Src substrate cortactin	Cttn		494722.51
Srp72 protein	Srp72	30.73	208032.1
Srrm2 protein	Srrm2		49915.93
SS18-like protein 2	Ss18l2		1093.59
STAM-binding protein	Stambp	4.32	26497.08
Staphylococcal nuclease domain-containing protein 1	Snd1	78.03	648513.63
STAT5a variant delta E18	Stat5a	3.7	1151.41
STAT6	Stat6	23.92	78592.46
Stathmin	Stmn1		1915844.1
Staufen (RNA binding protein) homolog 1 (Drosophila)	Stau1	20.69	99349.03
STE20/SPS1-related proline-alanine-rich protein kinase	Stk39	7.71	38349.89
STE20-like serine/threonine-protein kinase	Slk	14.51	73651.9
Steroid receptor RNA activator 1	Sra1	16.78	13015.1
Sterol O-acyltransferase 1	Soat1	13.81	29844.02
Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	Nsdhl	8.85	418962.1
STIP1 homology and U box-containing protein 1	Stub1	51.35	305805.95
Stomatin-like protein 2	Stoml2	27.74	268138.27
Stress-70 protein, mitochondrial	Hspa9	169.35	2560057.1
Stress-induced-phosphoprotein 1	Stip1	144.38	2293869.76
Striatin	Strn	6.46	29187.06
Striatin-3	Strn3	18.18	59123.47
Striatin-4	Strn4	21.22	14478.37
Stromal antigen 1	Stag1	11.24	23144.49
Stromal antigen 3	Stag3		1390.1
Stromal cell-derived factor 2	Sdf2	29.39	71049.64
Stromal cell-derived factor 2-like protein 1	Sdf2l1	19.22	124927.94
Stromal interaction molecule 1	Stim1	14.27	52943.5
Stromal membrane-associated protein 1	Smap1	13.4	23160.73
Structural maintenance of chromosomes flexible hinge domain-containing protein 1	Smchd1	11.74	64260.52
Structural maintenance of chromosomes protein 1B	Smc1b		13468.38
Structural maintenance of chromosomes protein 3	Smc3	24.31	203800.04
Structural maintenance of chromosomes protein 4	Smc4	28.9	181695.58
Structural maintenance of chromosomes protein 5	Smc5	13.16	13374.38
Structural maintenance of chromosomes protein 6	Smc6	12.93	4916.14
Strumpellin	Kiaa0196	47.87	18036.57
Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	Sdhd	55.5	2073.83
Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	Sdha	43.94	362392.07
Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	Sdhb	48.43	341225.68
Succinate dehydrogenase cytochrome b560 subunit, mitochondrial	Sdhc	43.37	48769.56
Succinate-semialdehyde dehydrogenase, mitochondrial	Aldh5a1		2192.59
Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial	Sucla2	14.07	156758.23
Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial	Suclg1	51.07	962434.07
Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial	Suclg2	23.57	439208.88
Succinyl-CoA:3-ketoacid-coenzyme A transferase 1, mitochondrial	Oxct1	45.75	498277.02
Sulfatase-modifying factor 1	Sumf1	9.78	171399.74
Sulfatase-modifying factor 2	Sumf2	15.16	66286.89
Sulfhydryl oxidase 2	Qsox2	3.3	4296.62
Sulfide:quinone oxidoreductase, mitochondrial	Sqrdl	3	6276.66
Sulfiredoxin 1 homolog (S. cerevisiae)	Srxn1	33.86	74996.49
SUMO-activating enzyme subunit 1	Sae1	78.65	923794.08
SUMO-activating enzyme subunit 2	Uba2	55.81	237404.59
SUMO-conjugating enzyme UBC9	Ube2i	30.17	2427678.5
Superkiller viralicidic activity 2-like 2	Skiv2l2		51243.98
Superoxide dismutase [Cu-Zn]	Sod1	298.77	7109069.16
Superoxide dismutase [Mn], mitochondrial	Sod2	14.58	914825.83
Suppression of tumorigenicity 5	St5	8.46	2929.56
Suppressor of G2 allele of SKP1 homolog	Sugt1	17.17	366349.32
Suppressor of IKK-epsilon protein A	Sikea	4.82	6565.91
Suppressor of SWI4 1 homolog	Ppan	58.48	169107.5
Surfeit locus protein 1	Surf1	16.58	45151.91
Surfeit locus protein 2	Surf2	21.87	5458.68
Surfeit locus protein 4	Surf4	78.71	124074.34
Surfeit locus protein 6	Surf6	13.86	25167.35
Survival motor neuron protein	Smn1	36.77	16184.1
Survival of motor neuron protein-interacting protein 1	Sip1	8.04	24644.94
Survival of motor neuron-related-splicing factor 30	Smndc1	15.44	56661.05
SWI/SNF complex subunit SMARCC1	Smarcc1	30.51	178551.66
SWI/SNF complex subunit SMARCC2	Smarcc2	17.73	61729.48
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	Smarcd2	15.26	56020.18
SWI/SNF-related matrix-associated actin-dependent regulator chromatin subfamily E member 1	Smarce1	14.44	76709.55
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	Smarcad1	8.63	12802.89
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	Smarca5	17.03	294879.31
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	Smarcb1	50.69	86985.93
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	Smarcd1		23811.68
Switch-associated protein 70	Swap70	30.15	320781.64
Symplekin	Sympk	30.46	65894.16
Synapse-associated protein 1	Syap1	9.74	13321.76
Synaptic nuclear envelope 1	Syne1	2.11	1055.25
Synaptic vesicle membrane protein VAT-1 homolog	Vat1	52.86	921100.27
Synaptobrevin homolog YKT6	Ykt6	33.2	305350.49
Synaptogyrin-2	Syngr2		260717.74
Synaptojanin-1	Synj1	2.68	220.03
Synaptojanin-2	Synj2	17.02	2998.5
Synaptojanin-2-binding protein	Synj2bp	2.39	182508.37
Synaptonemal complex protein SC65	Sc65	32.92	7681.9
Synaptosomal-associated protein	Snap23	7.11	57271.15
Synaptosomal-associated protein 29	Snap29	4.88	56209.12
Synaptosomal-associated protein 47	Snap47	15.29	19069.27
Syndecan-1	Sdc1	32.42	71939.21
Syndecan-2	Sdc2	26.15	34073.69
Syne2 protein	Syne2	3.53	5764.41
Synembryn-A	Ric8a		22555.78
Syntaxin-12	Stx12	16.26	278434.61
Syntaxin-16	Stx16	8.33	3507.6
Syntaxin-17	Stx17	2.63	21657.24
Syntaxin-18	Stx18	11.12	20950.81
Syntaxin-4	Stx4	19.35	56609.04
Syntaxin-5	Stx5	15.82	38415.45
Syntaxin-6	Stx6	10.51	19654.73
Syntaxin-7	Stx7	5.67	33009.5
Syntaxin-8	Stx8		42698.66
Syntaxin-binding protein 1	Stxbp1	16.99	161441.7
Syntaxin-binding protein 3	Stxbp3		22326.03
Syntaxin-binding protein 3	Stxbp3	8.02	73971.77
Syntenin-1	Sdcbp	36.19	111787.4
TAF4A RNA polymerase II, TATA box binding protein (TBP)-associated factor	Taf4a	5.25	2645.59
Talin 1	Tln1	47.68	432024.48
Talin-1	Tln1		2002.59
Tapasin-related protein	Tapbpl	8.25	9235.45
TAR DNA-binding protein 43	Tardbp	23.91	1583705.64
Target of EGR1 protein 1	Toe1	13.49	37816.42
Target of rapamycin complex 2 subunit MAPKAP1	Mapkap1	10.09	9297.35
TATA element modulatory factor	Tmf1	5.99	1118.66
Tax1-binding protein 1 homolog	Tax1bp1	33.96	1308.87
Tax1-binding protein 3	Tax1bp3	13.19	235783.98
TBC1 domain family member 1	Tbc1d1	8.08	2074.01
TBC1 domain family member 10A	Tbc1d10a	8.6	2792.68
TBC1 domain family member 10B	Tbc1d10b	11.95	1214.13
TBC1 domain family member 15	Tbc1d15	11.75	120212.23
TBC1 domain family member 22A	Tbc1d22a		34236.84
TBC1 domain family member 23	Tbc1d23	5.49	4791.6
TBC1 domain family member 4	Tbc1d4	2.93	2642.52
TBC1 domain family member 9B	Tbc1d9b	8.03	1171.07
TBP-associated factor 170	Btaf1	9.9	16425.27
T-cell activation GTPase-activating protein 1	Tagap1	11.98	7944.71
T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3	Tcirg1	31.98	24993.03
T-complex protein 1 subunit alpha B	Cct1	179.17	2838802.1
T-complex protein 1 subunit beta	Cct2	234.4	3056205.16
T-complex protein 1 subunit delta	Cct4	120.49	2451620.19
T-complex protein 1 subunit epsilon	Cct5	417.38	3359341.29
T-complex protein 1 subunit eta	Cct7	211.18	2809166.36
T-complex protein 1 subunit gamma	Cct3	285.5	3521171.19
T-complex protein 1 subunit theta	Cct8	148.06	3096790.3
T-complex protein 1 subunit zeta	Cct6a	199.4	4107574.67
TCTEX5 long isoform	Ppp1r11	23.36	23757.73
Telomerase Cajal body protein 1	Wdr79	9.78	2483.48
Telomerase protein component 1	Tep1	1.55	29190.74
Telomerase-binding protein EST1A	Smg6	7.28	3908.39
Telomere length regulation protein TEL2 homolog	Telo2	7.11	406.35
Telomere-associated protein RIF1	Rif1	10.33	7996.24
Tensin-3	Tns3	39.16	50821.78
Tensin-like C1 domain-containing phosphatase	Tenc1		4841.68
Testis expressed gene 264	Tex264	25.51	91858.1
Testis-expressed sequence 2 protein	Tex2	6.74	2772.08
Tether containing UBX domain for GLUT4	Aspscr1		31406.46
Tetraspanin-4	Tspan4		4757.83
Tetraspanin-6	Tspan6	12.04	6042.63
Tetratricopeptide repeat protein 1	Ttc1	14.23	60387.09
Tetratricopeptide repeat protein 15	Ttc15	5.85	1018.95
Tetratricopeptide repeat protein 19	Ttc19	8.19	1457.27
Tetratricopeptide repeat protein 27	Ttc27	10.53	6375.96
Tetratricopeptide repeat protein 33	Ttc33	7.52	25608.04
Tetratricopeptide repeat protein 35	Ttc35	26	233120.1
Tetratricopeptide repeat protein 39B	Ttc39b	10.58	21660.28
Tetratricopeptide repeat protein 4	Ttc4	10.07	15159.31
Tetratricopeptide repeat protein 9C	Ttc9c	15.19	292835.29
Thiamine-triphosphatase	Thtpa	3.81	9436.27
Thimet oligopeptidase	Thop1	35.22	253835.2
Thiopurine S-methyltransferase	Tpmt		3904.42
Thioredoxin	Txn	216.81	3828628.35
Thioredoxin domain containing 13	Txndc13	3.6	48026.73
Thioredoxin domain-containing protein 12	Txndc12	18.56	450920.19
Thioredoxin domain-containing protein 15	Txndc15	20.44	17149.19
Thioredoxin domain-containing protein 17	Txndc17	29.53	472424.92
Thioredoxin domain-containing protein 5	Txndc5	66.29	560800.28
Thioredoxin domain-containing protein 9	Txndc9	5.42	420814.37
Thioredoxin reductase 1, cytoplasmic	Txnrd1	121.62	956570.06
Thioredoxin reductase 3	Txnrd3	5.7	4411.41
Thioredoxin, mitochondrial	Txn2	138.67	389680.61
Thioredoxin-dependent peroxide reductase, mitochondrial	Prdx3		421714.95
Thioredoxin-like protein 1	Txnl1	21.76	763413.62
Thioredoxin-like protein 4A	Txnl4a	8.57	49478.74
Thioredoxin-related transmembrane protein 1	Tmx1	23.98	397273.71
Thioredoxin-related transmembrane protein 2	Tmx2	14.65	15075.84
Thiosulfate sulfurtransferase	Tst		5849.42
THO complex 2	Thoc2	11.02	61860.15
THO complex 5	Thoc5	16.82	20657.8
THO complex subunit 1	Thoc1	6.99	45248.34
THO complex subunit 3	Thoc3	20.55	75328.37
THO complex subunit 4	Thoc4		1744446.53
THO complex subunit 6 homolog	Thoc6	11.44	110511.4
THO complex subunit 7 homolog	Thoc7	33.25	122416.29
Three prime repair exonuclease 1	Trex1	7.39	5493.62
Threonyl-tRNA synthetase, cytoplasmic	Tars	107	976808.15
Threonyl-tRNA synthetase, mitochondrial	Tars2	11.05	2437.49
Thrombospondin-1	Thbs1		9039.05
THUMP domain-containing protein 1	Thumpd1	20.7	137457.21
THUMP domain-containing protein 3	Thumpd3	8.69	18741.52
Thymidylate kinase	Dtymk	41.92	242307.82
Thymidylate synthase	Tyms	24.75	282490.1
Thymocyte nuclear protein 1	Thyn1	25.43	13853.78
Thymopoietin	Tmpo	40.59	541257
Thymosin beta-10	Tmsb10	73.28	55766.65
Thyroid adenoma-associated protein homolog	Thada		5861.14
Thyroid hormone receptor interactor 11	Trip11	3.4	6323.34
Thyroid hormone receptor-associated protein 3	Thrap3	35.26	253482.92
Thyroid receptor-interacting protein 13	Trip13	22.26	191721.62
Thyroid receptor-interacting protein 6	Trip6	37.83	18161.26
Tial1 protein	Tial1	11.86	165120.91
Tight junction protein ZO-2	Tjp2	4.98	14467.09
Tight junction-associated protein 1	Tjap1	26.47	7599.44
Timm44 protein	Timm44	23.01	186787.59
TIP41-like protein	Tiprl	6.1	187153.27
Tissue factor	F3	36.72	18965.85
Titin	Ttn		5637.95
Tjp1 protein	Tjp1	19.12	86889.47
Tln2 protein	Tln2		1520.8
Tln2 protein	Tln2	4.96	5074.18
TNF receptor-associated factor 1	Traf1	13.05	4336.92
Toll-interacting protein	Tollip		37277.04
Toll-like receptor 2	Tlr2	7.22	1880.73
TOM1-like protein 2	Tom1l2	9.21	21674.84
Torsin-1A	Tor1a	14.44	26662.19
Torsin-1B	Tor1b	20.42	105621.54
Torsin-2A	Tor2a	8.88	11089.41
Torsin-3A	Tor3a	5.46	18817.24
Tousled-like kinase 2 (Arabidopsis)	Tlk2	7.95	1295.25
TP53RK-binding protein	Tprkb	12.51	38949.96
Tpr protein	Tpr	31.09	163180.25
TPR repeat-containing protein C12orf30 homolog	C330023M02Rik	29.44	111079.77
TPX2, microtubule-associated protein homolog (Xenopus laevis)	Tpx2	29.38	12125.83
TraB domain-containing protein	Trabd		20920.32
Trafficking protein particle complex subunit 1	Trappc1	32.07	23916.13
Trafficking protein particle complex subunit 2-like protein	Trappc2l	15.84	5281.81
Trafficking protein particle complex subunit 3	Trappc3	31.94	338939.99
Trafficking protein particle complex subunit 4	Trappc4	25.54	30751.21
Trafficking protein particle complex subunit 5	Trappc5	11.9	298588.51
Trafficking protein particle complex subunit 6B	Trappc6b	14.21	69257.17
Trans-2-enoyl-CoA reductase, mitochondrial	Mecr	14.92	69541.32
Transaldolase	Taldo1		3501590.69
Transcription elongation factor A protein 1	Tcea1	39.97	1034476.32
Transcription elongation factor B polypeptide 1	Tceb1	27.97	792675.64
Transcription elongation factor B polypeptide 2	Tceb2	114.45	1655756.79
Transcription elongation factor B polypeptide 3	Tceb3	10.96	14574.07
Transcription elongation factor SPT4 1	Supt4h1	73.72	520095.2
Transcription elongation factor SPT5	Supt5h	62.51	252208.75
Transcription elongation factor SPT6	Supt6h	41.04	77104.31
Transcription elongation regulator 1	Tcerg1	16.37	97265.58
Transcription factor 20	Tcf20	23.04	2219.2
Transcription factor A, mitochondrial	Tfam	14.3	203091.01
Transcription factor BTF3	Btf3		194476.14
Transcription factor BTF3	Btf3	125.85	2552555.34
Transcription factor BTF3 homolog 4	Btf3l4		143875.9
Transcription factor Dp-1	Tfdp1	75.57	14329.88
Transcription factor ETV6	Etv6	5.34	2317.85
Transcription factor jun-B	Junb	25.46	152516.05
Transcription factor MafF	Maff	13.14	33208.7
Transcription factor MafG	Mafg		37869.05
Transcription factor MafK	Mafk	9.77	6603.05
Transcription factor p65	Rela	35.17	57891.2
Transcription initiation factor IIA subunit 1	Gtf2a1	2.53	23601.06
Transcription initiation factor IIB	Gtf2b	20.51	75774.82
Transcription initiation factor TFIID subunit 10	Taf10	76.97	36502.39
Transcription initiation factor TFIID subunit 9	Taf9	82.72	29945.22
Transcription intermediary factor 1-alpha	Trim24	8.15	1125.77
Transcription intermediary factor 1-beta	Trim28	72.95	374782.94
Transcription termination factor 2	Ttf2	8.57	2912.43
Transcriptional activator protein Pur-alpha	Pura	7.79	192279.13
Transcriptional activator protein Pur-beta	Purb	9.88	248251.7
Transcriptional adapter 1-like protein	Tada1l	10.16	14290.6
Transcriptional regulator ATRX	Atrx	11.15	14445.23
Transcriptional repressor CTCF	Ctcf	15.24	6993.16
Transcriptional repressor p66 alpha	Gatad2a	17.74	20408.54
Transcriptional repressor p66-beta	Gatad2b	21.73	78290.04
Transcriptional repressor protein YY1	Yy1	19.99	13159.15
Transducin beta-like protein 3	Tbl3	43.78	54970.46
Transducin-like enhancer protein 2	Tle2		15414.55
Transducin-like enhancer protein 3	Tle3	8.14	51459.22
Transferrin receptor protein 1	Tfrc	50.75	646104.03
Transformation related protein 53 binding protein 1	Trp53bp1	7.5	3713.81
Transformation/transcription domain-associated protein	Trrap		31636.1
Transformer-2 protein homolog alpha	Tra2a	53.3	169752
Transformer-2 protein homolog beta	Tra2b	37.89	651059.64
Transforming acidic coiled-coil-containing protein 2	Tacc2		2770.6
Transforming growth factor beta regulator 1	Tbrg1	59.1	5398.06
Transforming growth factor beta-1-induced transcript 1 protein	Tgfb1i1	23.08	10375.69
Transforming protein RhoA	Rhoa	58.46	319065.85
Transgelin-2	Tagln2	252.93	6071931.19
Trans-Golgi network integral membrane protein 2	Tgoln2	18.82	7451.76
Transitional endoplasmic reticulum ATPase	Vcp		3827365.84
Transketolase	Tkt	17.86	788935.04
Translation initiation factor eIF-2B subunit alpha	Eif2b1	27.4	574058.1
Translation initiation factor eIF-2B subunit beta	Eif2b2	27.62	271220.54
Translation initiation factor eIF-2B subunit delta	Eif2b4	19.46	134417.63
Translation initiation factor eIF-2B subunit epsilon	Eif2b5	36.28	77390.08
Translation initiation factor IF-2	Mtif2	4.87	4638.92
Translation initiation factor IF-3, mitochondrial	Mtif3		5551.98
Translationally-controlled tumor protein	Tpt1	255.37	5460249.61
Translin	Tsn	26.99	1143165.47
Translin-associated protein X	Tsnax		56660.08
Translocase of inner mitochondrial membrane 17b	Timm17b	5.85	13807.16
Translocase of inner mitochondrial membrane 23 homolog (Yeast)	Timm23		145926.61
Translocating chain-associated membrane protein 1	Tram1	7	7554.32
Translocation protein SEC62	Sec62	17.97	77567.93
Translocation protein SEC63 homolog	Sec63	6.03	13557.33
Translocator protein	Tspo	117.65	90677.96
Translocon-associated protein subunit alpha	Ssr1	21.46	665046.14
Translocon-associated protein subunit gamma	Ssr3	97.76	286603.98
Transmembrane 4 L6 family member 1	Tm4sf1	821.48	2779219.33
Transmembrane 9 superfamily member 3	Tm9sf3	27.99	11619.84
Transmembrane 9 superfamily member 4	Tm9sf4	15.61	871.39
Transmembrane and coiled-coil domain-containing protein C6orf129 homolog		4.4	27621.86
Transmembrane and TPR repeat-containing protein 3	Tmtc3	8.03	5528.47
Transmembrane emp24 domain-containing protein 1	Tmed1	27.12	149342.36
Transmembrane emp24 domain-containing protein 10	Tmed10	11.06	750517.06
Transmembrane emp24 domain-containing protein 2	Tmed2		488629.27
